新版六类职业分类表,,,,,,,,,,对应类别,,,
行业,,,,,,工种名称,,,工种代码,寿险、重疾及意外险,,,医疗保险
,,,,,计程车司机,,,,501006,3,,,标准
,,,,,游览车司机及服务员,,,,501007,3,,,标准
,,,,,客运车司机及服务员,,,,501008,3,,,标准
,,,,,小型客货两用车司机,,,,501009,3,,,标准
,,,,,自用货车司机，随车工人,,,,501010,4,,,标准
,,,,,人力三轮车夫,,,,501011,3,,,标准
,,,,,拖拉机驾驶人员,,,,501012,5,,,2
,,,,,机动三轮车人员,,,,501013,5,,,1.75
,,,,,柜台售票员,,,,501014,1,,,标准
,,,,,客运车稽核人员,,,,501015,2,,,标准
,,,,,营业用货车司机,,,,501016,6,,,1.5
,,,,,营业用货车随车工人,,,,501017,6,,,1.5
,,,,,装卸搬运工人,,,,501018,5,,,1.5
,,,,,砂石车司机，随车工人,,,,501019,6,,,1.75
,,,,,工程卡车人员,,,,501020,5,,,1.5
,,,,,液化气\油罐车司机==随车人员,,,,501021,6,,,2
,,,,,货柜车司机，随车工人,,,,501022,4,,,1.5
,,,,,缆车操作员,,,,501023,3,,,标准
,,,,,执摩托车驾照者,,,,501024,3,,,标准
,,,,,营业用摩托车驾驶员,,,,501025,5,,,2
,,,,,公交车司机及售票员,,,,501026,3,,,标准
,,,,,路桥收费站收费员,,,,501027,2,,,标准
,,,,,路桥收费站执勤员,,,,501028,4,,,标准
,,,,,汽车运输调度员,,,,501029,1,,,标准
,,,,,汽车货运站务员,,,,501030,2,,,标准
,,,铁路运输及设 备操作,,站长,,,,502001,1,,,标准
,,,,,票房工作人员,,,,502002,1,,,标准
,,,,,播音员,,,,502003,1,,,标准
,,,,,一般内勤人员,,,,502004,1,,,标准
,,,,,车站剪票员,,,,502005,1,,,标准
,,,,,服务台人员,,,,502006,1,,,标准
,,,,,月台工作人员,,,,502007,2,,,标准
,,,,,行李搬运工人,,,,502008,2,,,标准
,,,,,车站清洁工人,,,,502009,2,,,标准
,,,,,随车人员(技术人员除外),,,,502010,2,,,标准
,,,,,机车贺驶员,,,,502011,3,,,标准
,,,,,机车燃料填充员,,,,502012,3,,,标准
,,,,,机工,,,,502013,4,,,1.25
,,,,,电工,,,,502014,4,,,1.25
,,,,,修设厂厂长,,,,502015,1,,,标准
,,,,,修设厂一般内勤,,,,502016,1,,,标准
,修设厂工程师,,,,,,502017,2,,,标准,,
,修设厂技工,,,,,,502018,3,,,标准,,
,修路工,,,,,,502019,4,,,1.5,,
,铁路维护工,,,,,,502020,4,,,1.5,,
,铁路平交道看守人员,,,,,,502021,2,,,标准,,
,铁路货运领班,,,,,,502022,3,,,标准,,
,铁路货运搬运工人,,,,,,502023,5,,,1.5,,
,发电车乘务员,,,,,,502024,3,,,标准,,
,铁路信号工人,,,,,,502025,4,,,标准,,
,铁路通讯工人,,,,,,502026,4,,,标准,,
,乘警,,,,,,502027,3,,,标准,,
,仓库管理员,,,,,,502028,3,,,标准,,
水上运输及设 备操作,客货轮船长,,,,,,503001,4,,,标准,,
