个人寿险投/被保险人职业代码表（2010）,,,,,,
大分类,中分类,小分类,细类（职业）,职业内容,职业风险等级,住院险风险等级
,,40716瓦斯器具店,"4071601负责人",负责人,1,1
,,,"4071602店员",店员,1,1
,,,"4071603送货员",送货员,3,1
,,,"4071604装饰工",装饰工,3,1
,,40717液化瓦斯零售店,"4071701负责人及工作人员",负责人及工作人员,2,1
,,,"4071702售货商",售货商,3,1
,499其他商业、服务业人员,49900其他商业、服务人员,"4990001出版物送货员",出版物送货员,2,1
,,,"4990002送报员",送报员,3,1
,,,"4990003公证行外务员",公证行外务员,2,1
,,,"4990004报关行外务员",报关行外务员,2,1
,,,"4990005鞋匠、伞匠",鞋匠、伞匠,2,1
,,,"4990006代书(内勤)",代书（内勤）,1,1
,,,"4990007勘察师",勘察师,2,1
,,,"4990008地磅场工作人员",地磅场工作人员,2,1
,,,4990009豆制品工艺师,豆制品工艺师,1,1
,,,4990010呼叫服务员,呼叫服务员,1,1
,,,4990011牛肉分级员,牛肉分级员,2,1
,,,4990012首饰设计制作员,首饰设计制作员,1,1
,,,4990013酿酒师,酿酒师,1,1
,,,4990014照明设计师,照明设计师,1,1
,,,4990015模具设计师,模具设计师,1,1
,,,4990016纺织面料设计师,纺织面料设计师,1,1
,,,4990017玩具设计师,玩具设计师,1,1
,,,4990018花艺环境设计师,花艺环境设计师,1,1
,,,4990019霓虹灯制作员,霓虹灯制作员,2,1
,,,4990020糖果工艺师,糖果工艺师,1,1
,,,4990021陶瓷产品设计师,陶瓷产品设计师,1,1
,,,4990022皮具设计师,皮具设计师,1,1
,,,4990023珠宝首饰评估师,珠宝首饰评估师,1,1
,,,4990024家具设计师,家具设计师,1,1
,,,4990025地毯设计师,地毯设计师,1,1
,,,4990026家用纺织品设计师,家用纺织品设计师,1,1
,,,4990027企业文化师,企业文化师,1,1
,,,4990028网络课件设计师,网络课件设计师,1,1
"第五大类5农、林、牧、渔、水利业生产人员",501种植业生产人员,50101大田作物生产人员,"5010101农夫",农夫,2,1
,,,5010102啤酒花生产工,啤酒花生产工,2,1
,,,5010103作物种子繁育工,作物种子繁育工,2,1
,,,5010104农作物病虫草害防治工,农作物病虫草害防治工,2,1
,,,"5010105农场经营者(不亲自作业)",农场经营者（不亲自作业）,1,1
"第五大类5农、林、牧、渔、水利业生产人员",501种植业生产人员,50101大田作物生产人员,"5010106长短工",长短工,3,1
,,,5010107山、林承包商,山、林承包商,1,1
,,,5010108农业技术指导人员,农业技术指导人员,2,1
,,50102农业实验人员,5010201农业实验工,农业实验工,2,1
,,,5010202农情测报员,农情测报员,2,1
,,50103园艺作物生产人员,"5010301蔬菜园艺工",蔬菜园艺工,2,1
,,,"5010302花卉园艺工",花卉园艺工,2,1
,,,"5010303果、茶、桑园艺工",果、茶、桑园艺工,3,2
,,,5010304菌类园艺工,菌类园艺工,2,1
,,50104热带作物生产人员,5010401天然橡胶生产工,天然橡胶生产工,2,1
,,,5010402剑麻生产工,剑麻生产工,2,1
,,50105中药材生产人员,5010501中药材种植员,中药材种植员,2,1
,,,5010502中药材养殖员,中药材养殖员,2,1
,,,5010503中药材生产管理员,中药材生产管理员,2,1
,,50106农副林特产品加工人员,5010601棉花加工工,棉花加工工,4,1
,,,5010602果类产品加工工,果类产品加工工,3,1
,,,5010603茶叶加工工,茶叶加工工,2,1
,,,5010604蔬菜加工工,蔬菜加工工,2,1
,,,5010605竹、藤、麻、棕、草制品加工工,竹、藤、麻、棕、草制品加工工,3,2
,,,5010606特种植物原料加工工,特种植物原料加工工,3,1
,,,"5010607糖厂技工",糖厂技工,4,1
,,,5010608农作物种子加工,农作物种子加工,2,1
,502林业生产及野生动植物保护人员,50201营造林人员,"5020101林木种苗工",林木种苗工,2,1
,,,"5020102造林更新工",造林更新工,4,1
,,,5020103抚育采伐工,抚育采伐工,6,1
,,,5020104营林试验工,营林试验工,2,1
,,,"5020105领班",领班,3,1
,,,"5020106实验室育苗栽培人员",实验室育苗栽培人员,1,1
,,50202森林资源管护人员,"5020201护林员",护林员,4,1
,,,5020202森林病虫害防治员,森林病虫害防治员,2,1
"第五大类5农、林、牧、渔、水利业生产人员",502林业生产及野生动植物保护人员,50202森林资源管护人员,"5020203森林防火员",森林防火员,6,1
,,,5020204木材防腐师,木材防腐师,3,1
,,50203野生动植物保护及自然保护区人员,5020301野生动物保护员,野生动物保护员,6,1
,,,5020302野生植物保护员,野生植物保护员,3,1
,,,5020303自然保护区巡护监测员,自然保护区巡护监测员,3,1
,,,5020304动植物标本员,动植物标本员,3,1
,,50204木材采运人员,"5020401木材采伐工",木材采伐工,6,2
,,,5020402集材作业工,集材作业工,6,2
,,,5020403木材水运工,木材水运工,6,2
,,,"5020404装卸归楞工",装卸归楞工,6,2
,,,"5020405锯木工人",锯木工人,6,2
,,,"5020406运材车辆之司机及押运人员",运材车辆之司机及押运人员,6,1
,,,"5020407起重机之操作人员",起重机之操作人员,6,1
,,,"5020408领班、监工",领班、监工,4,1
,503畜牧业生产人员,50301家畜饲养人员,"5030101家畜饲养工",家畜饲养工,3,1
,,,5030102家畜繁殖工,家畜繁殖工,3,1
,,,"5030103畜牧场经营者(不亲自作业)",畜牧场经营者（不亲自作业）,1,1
,,,"5030104驯犬人员",驯犬人员,4,1
,,,"5030105畜牧工作人员",畜牧工作人员,3,1
,,,5030106宠物训导师,宠物训导师,3,1
,,,5030107有毒动物饲养工（蛇、蝎子、蜈蚣等）,有毒动物饲养工（蛇、蝎子、蜈蚣等）,6,2
,,50302家禽饲养人员,5030201家禽饲养工(旧)0101007饲养家禽家畜人员,家禽饲养工,2,1
,,,5030202家禽繁殖工,家禽繁殖工,2,1
,,50303蜜蜂饲养人员,"5030301蜜蜂饲养工",蜜蜂饲养工,3,1
,,,5030302蜂产品加工工,蜂产品加工工,2,1
"第五大类5农、林、牧、渔、水利业生产人员",503畜牧业生产人员,50304实验动物饲养人员,5030401实验动物饲养工,实验动物饲养工,2,1
,,50305动物疫病防治人员,5030501动物疫病防治员,动物疫病防治员,3,1
,,,5030502兽医化验员,兽医化验员,2,1
,,,5030503动物检疫检验员,动物检疫检验员,2,1
,,,"5030504中兽医员",中兽医员,3,1
,,,5030505宠物健康护理人员,宠物健康护理人员,3,1
,,50306草业生产人员,5030601草地监护员,草地监护员,4,1
,,,5030602牧草培育、加工人员,牧草培育、加工人员,3,1
,,,5030603草坪建植工,草坪建植工,2,1
,504渔业生产人员,50401水产养殖人员,5040101水生动物苗种繁育工,水生动物苗种繁育工,3,1
,,,5040102水生植物苗种培育工,水生植物苗种培育工,3,1
,,,"5040103水生动物饲养工",水生动物饲养工,3,1
,,,5040104水生植物栽培工,水生植物栽培工,3,2
,,,5040105珍珠养殖工(淡水),珍珠养殖工（淡水）,3,2
,,,5040106珍珠养殖工(海水),珍珠养殖工（海水）,6,2
,,,5040107生物饵料培养工,生物饵料培养工,3,1
,,,5040108水产养殖潜水工,水产养殖潜水工,6,3
,,,"5040109渔场经营者(不亲自作业)",渔场经营者（不亲自作业）,1,1
,,,"5040110渔场经营者(亲自作业)",渔场经营者（亲自作业）,3,1
,,,"5040111热带鱼养殖者、水族馆经营者",热带鱼养殖者、水族馆经营者,2,1
,,,"5040112养殖工人(沿海)",养殖工人（沿海）,6,2
,,,5040113水生哺乳动物训养师,水生哺乳动物训养师,4,1
,,50402水产捕捞及有关人员,"5040201水产捕捞工",水产捕捞工,3,1
,,,"5040202渔业生产船员",渔业生产船员,7,2
,,,5040203水生动植物采集工,水生动植物采集工,3,3
,,,5040204渔网具装配工,渔网具装配工,2,1
,,,"5040205捕鱼人(沿海)",捕鱼人（沿海）,6,2
"第五大类5农、林、牧、渔、水利业生产人员",504渔业生产人员,50403水产品加工人员,5040301水产品原料处理工,水产品原料处理工,3,1
,,,5040302水产品腌熏烤制工,水产品腌熏烤制工,2,1
,,,5040303鱼糜及鱼糜制品加工工,鱼糜及鱼糜制品加工工,3,1
,,,5040304鱼粉加工工,鱼粉加工工,3,1
,,,5040305鱼肝油及制品加工工,鱼肝油及制品加工工,3,1
,,,5040306海藻制碘工,海藻制碘工,2,1
,,,5040307海藻制醇工,海藻制醇工,2,1
,,,5040308海藻制胶工,海藻制胶工,4,1
,,,5040309海藻食品加工工,海藻食品加工工,3,1
,,,5040310贝类净化工,贝类净化工,2,1
,,50499其他渔业生产人员,"5049901水产实验人员(室内)",水产实验人员（室内）,1,1
,,,5049902水产养殖质量管理员,水产养殖质量管理员,1,1
,,,5049903水产品质量检验员,水产品质量检验员,1,1
,505水利设施管理养护人员,50501河道、水库管养人员,5050101河道修防工(堤、坝施工人员),河道修防工（堤、坝施工人员）,5,1
,,,5050102草皮、防浪林种植养护人员,草皮、防浪林种植养护人员,2,1
,,,5050103河道、堤防巡护人员,河道、堤防巡护人员,4,1
,,,5050104混凝土工程维修工,混凝土工程维修工,4,1
,,,5050105土石工程维修工,土石工程维修工,4,1
,,,5050106水工检测工,水工检测工,3,1
,,,5050107建(构)筑物有害动物防治工,建（构）筑物有害动物防治工,3,1
,,,"5050108水坝水库管理人员",水坝水库管理人员,3,1
,,,5050109水域环境养护保洁员,水域环境养护保洁员,4,1
,,50502农田灌排工程建设管理维护人员,5050201灌排工程施工、运行、管护人员,灌排工程施工、运行、管护人员,3,1
,,,5050202渠道维护工,渠道维护工,4,1
,,,5050203灌区供水工,灌区供水工,2,1
,,,5050204灌溉试验工,灌溉试验工,2,1
,,50503水土保持作业人员,5050301水土保持防治工,水土保持防治工,2,1
,,,5050302水土保持测试工,水土保持测试工,2,1
,,,5050303水土保持勘测工,水土保持勘测工,2,1
,,50504水文勘测作业人员,5050401水文勘测工,水文勘测工,2,1
,,,5050402水文勘测船工,水文勘测船工,4,1
,,50599其他水利设施管理养护人员,"5059901水利工程设施人员(旧)1403003水利工程设施人员",水利工程设施人员,4,1
"第五大类5农、林、牧、渔、水利业生产人员",599其他农、林、牧、渔、水利业生产人员,59901农林专用机械操作人员,"5990101拖拉机驾驶员",拖拉机驾驶员,5,1
,,,5990102联合收割机驾驶员,联合收割机驾驶员,3,1
,,,5990103农用运输车驾驶员,农用运输车驾驶员,4,1
,,,"5990104农业机械操作或修理人员",农业机械操作或修理人员,3,1
,,59902农村能源开发利用人员,5990201沼气工程施工人员,沼气工程施工人员,5,1
,,,5990202沼气设备安装、调试、检修人员,沼气设备安装、调试、检修人员,4,1
,,,5990203沼气生产管理人员,沼气生产管理人员,2,1
,,,5990204农村节能员(灶、坑、炉、窑建造改造人员),农村节能员（灶、坑、炉、窑建造改造人员）,4,1
,,,5990205农用太阳能设施工,农用太阳能设施工,4,1
,,,5990206生物质能设备工,生物质能设备工,4,1
"第六大类6生产、运输设备操作人员及有关人员",601勘测及矿物开采人员,60101地质勘查人员,6010101钻探工,钻探工,6,3
,,,6010102坑探工,坑探工,7,3
,,,6010103物探工,物探工,4,2
,,,6010104地震物探爆炸工,地震物探爆炸工,7,3
,,,6010105采样工,采样工,4,1
,,,6010106水文、矿山地质工(从事采送水样、矿样和观测获取数据的人员),水文、矿山地质工,4,2
,,,6010107海洋地质取样工,海洋地质取样工,7,2
,,,6010108海洋土质试验工,海洋土质试验工,1,1
,,,6010109固体岩矿样碎样工,固体岩矿样碎样工,2,1
,,,6010110岩矿和古生物样品磨片工,岩矿和古生物样品磨片工,3,1
,,,6010111重沙样品淘洗工,重沙样品淘洗工,2,1
,,,6010112劈岩与保管工,劈岩与保管工,3,1
,,,"6010113地质探测员",地质探测员,6,2
,,60102测绘人员,6010201大地测量工,大地测量工,3,1
,,,6010202摄影测量工,摄影测量工,2,1
,,,6010203地图制图工,地图制图工,1,1
,,,6010204工程测量工,工程测量工,3,1
,,,6010205地籍测绘工,地籍测绘工,2,1
,,60103矿物开采人员,6010301露天采矿挖掘机司机,露天采矿挖掘机司机,6,2
,,,6010302钻孔机司机,钻孔机司机,6,2
"第六大类6生产、运输设备操作人员及有关人员",601勘测及矿物开采人员,60103矿物开采人员,6010303井筒冻结工,井筒冻结工,6,2
,,,6010304矿井开掘工,矿井开掘工,7,3
,,,"6010305井下采矿工",井下采矿工,7,3
,,,6010306支护工,支护工,7,3
,,,6010307矿山提升机、架空索道及绞车等操作工,矿山提升机、架空索道及绞车等操作工,4,2
,,,6010308矿井机车运输工,矿井机车运输工,7,3
,,,6010309矿井通风工,矿井通风工,4,2
,,,"6010310矿山安全监测工",矿山安全监测工,4,1
,,,6010311矿山检查验收工,矿山检查验收工,3,1
,,,6010312矿灯、自救器管理工,矿灯、自救器管理工,1,1
,,,6010313火药、雷管等火工品管理工,火药、雷管等火工品管理工,5,2
,,,6010314矿山井下抢险、救灾人员,矿山井下抢险、救灾人员,7,3
,,,"6010315矿物开采辅助工",矿物开采辅助工,5,2
,,,"6010316经营者(不到现场)",经营者（不到现场）,1,1
,,,"6010317经营者(现场监督者)",经营者（现场监督者）,4,1
,,,"6010318经理人员",经理人员,2,1
,,,"6010319海上所有作业人员(潜水人员拒保)",海上所有作业人员（潜水人员拒保）,6,3
,,60104矿物处理人员,6010401筛选破碎工,筛选破碎工,3,1
,,,6010402重力选矿工,重力选矿工,3,1
,,,6010403浮选工,浮选工,2,1
,,,6010404磁选工,磁选工,2,1
,,,6010405选矿脱水工,选矿脱水工,2,1
,,,6010406尾矿处理工,尾矿处理工,4,1
,,,6010407磨矿工,磨矿工,4,1
,,,6010408水煤浆制备工,水煤浆制备工,4,1
,,,6010409动力配煤工,动力配煤工,2,1
,,,6010410工业型煤加工制作人员,工业型煤加工制作人员,2,1
,,60105钻井人员,6010501钻井设备、井架安装工,钻井设备、井架安装工,5,2
"第六大类6生产、运输设备操作人员及有关人员",601勘测及矿物开采人员,60105钻井人员,"6010502钻井工",钻井工,5,2
,,,6010503固井工,固井工,4,2
,,,6010504平台水手,平台水手,4,2
,,,6010505水下设备操作工,水下设备操作工,7,3
,,,"6010506钻勘设备安装换修保养工人",钻勘设备安装换修保养工人,5,1
,,60106石油、天然气开采人员,6010601油、气井测试工,油、气井测试工,5,2
,,,6010602采油工,采油工,5,2
,,,6010603采气工,采气工,5,2
,,,6010604井下作业工,井下作业工,7,3
,,,6010605天然气净化工,天然气净化工,3,1
,,,6010606油气输送工,油气输送工,3,1
,,,"6010607油气管道保护工",油气管道保护工,5,1
,,,"6010608行政人员",行政人员,2,1
,,,"6010609技术员",技术员,5,1
,,60107盐业生产人员,6010701海盐晒制工,海盐晒制工,3,1
,,,6010702海盐采收工,海盐采收工,2,1
,,,6010703湖盐采掘船工,湖盐采掘船工,6,2
,,,6010704湖盐采掘爆破工,湖盐采掘爆破工,7,3
,,,6010705湖盐脱水工,湖盐脱水工,3,1
,,,6010706驳筑、集拆坨盐工,驳筑、集拆坨盐工,3,1
,,,6010707井矿盐采卤工,井矿盐采卤工,3,1
,,,6010708井矿盐卤水净化工,井矿盐卤水净化工,3,1
,,,6010709真空制盐工,真空制盐工,3,1
,,,6010710冷冻提硝工,冷冻提硝工,3,1
,,,6010711苦卤综合利用工,苦卤综合利用工,3,1
,,,6010712精制盐工,精制盐工,3,1
,,60199其他勘测矿物开采人员,"6019903采石业工人",采石业工人,7,2
,,,"6019904采砂业工人",采砂业工人,7,2
,602金属冶炼、轧制人员,60201炼铁人员,6020101烧结球团原料工,烧结球团原料工,4,2
,,,6020102烧结工,烧结工,4,2
,,,6020103球团焙烧工,球团焙烧工,4,2
"第六大类6生产、运输设备操作人员及有关人员",602金属冶炼、轧制人员,60201炼铁人员,6020104烧结成品工,烧结成品工,4,2
,,,6020105高炉原料工,高炉原料工,5,2
,,,6020106高炉炉前工,高炉炉前工,7,2
,,,6020107高炉运转工,高炉运转工,5,2
,,60202炼钢人员,6020201炼钢原料工,炼钢原料工,6,2
,,,6020202平炉炼钢工,平炉炼钢工,6,2
,,,6020203转炉炼钢工,转炉炼钢工,6,2
,,,6020204电炉炼钢工,电炉炼钢工,6,2
,,,6020205炼钢浇铸工,炼钢浇铸工,6,2
,,,6020206炼钢准备工,炼钢准备工,5,2
,,,"6020207整脱模工",整脱模工,5,2
,,,"6020208技师",技师,3,1
,,,"6020209工程师",工程师,3,1
,,,"6020210领班、监工",领班、监工,3,1
,,60203铁合金冶炼人员,6020301铁合金原料工,铁合金原料工,3,1
,,,6020302铁合金电炉冶炼工,铁合金电炉冶炼工,5,2
,,,6020303铁合金焙烧工,铁合金焙烧工,4,2
,,,6020304铁合金湿法冶炼工,铁合金湿法冶炼工,4,2
,,,6020305铁合金炉外法冶炼工,铁合金炉外法冶炼工,4,2
,,60204重有色金属冶炼人员,6020401重冶备料工,重冶备料工,4,2
,,,6020402焙烧工,焙烧工,4,2
,,,6020403火法冶炼工,火法冶炼工,5,2
,,,6020404湿法冶炼工,湿法冶炼工,4,2
,,,6020405电解精炼工,电解精炼工,4,2
,,,6020406烟气制酸工,烟气制酸工,5,2
,,60205轻有色金属冶炼人员,6020501氧化铝制取工,氧化铝制取工,4,2
,,,6020502铝电解工,铝电解工,4,2
,,,6020503镁冶炼工,镁冶炼工,4,2
,,,6020504硅冶炼工,硅冶炼工,4,2
,,60206稀贵金属冶炼人员,6020601钨钼冶炼工,钨钼冶炼工,4,2
,,,6020602钽铌冶炼工,钽铌冶炼工,4,2
,,,6020603钛冶炼工,钛冶炼工,4,2
,,,6020604稀土冶炼工,稀土冶炼工,4,2
,,,6020605贵金属冶炼工,贵金属冶炼工,4,2
,,,6020606锂冶炼工,锂冶炼工,4,2
,,60207半导体材料制备人员,6020701半导体原料制备工,半导体原料制备工,4,2
,,,6020702多晶制取工,多晶制取工,4,2
"第六大类6生产、运输设备操作人员及有关人员",602金属冶炼、轧制人员,60208金属轧制人员,6020801轧制原料工,轧制原料工,4,2
,,,6020802金属轧制工,金属轧制工,5,2
,,,6020803酸洗工,酸洗工,5,2
,,,6020804金属材涂层工,金属材涂层工,4,2
,,,6020805金属材热处理工,金属材热处理工,5,2
,,,6020806焊管工,焊管工,6,2
,,,6020807精整工,精整工,5,2
,,,6020808金属材丝拉拔工,金属材丝拉拔工,5,2
,,,6020809金属挤压工,金属挤压工,5,2
,,,6020810铸轧工,铸轧工,5,2
,,,6020811钢丝绳制造工,钢丝绳制造工,4,2
,,60209铸铁管人员,6020901铸管备品工,铸管备品工,3,2
,,,6020902铸管工,铸管工,5,2
,,,6020903铸管精整工,铸管精整工,5,2
,,60210碳素制品生产人员,6021001碳素煅烧工,碳素煅烧工,4,2
,,,6021002碳素成型工,碳素成型工,4,2
,,,6021003碳素焙烧工,碳素焙烧工,4,2
,,,6021004碳素浸渍工,碳素浸渍工,4,2
,,,6021005碳素石墨化工,碳素石墨化工,4,2
,,,6021006碳素石墨加工工,碳素石墨加工工,4,2
,,,6021007碳素纤维工,碳素纤维工,4,2
,,60211硬质合金生产人员,6021101硬质合金混合料制备工,硬质合金混合料制备工,4,2
,,,6021102硬质合金成型工,硬质合金成型工,5,2
,,,6021103硬质合金烧结工,硬质合金烧结工,4,2
,,,6021104硬质合金精加工工,硬质合金精加工工,4,2
,,60299其他金属冶炼、轧制人员,6029901冶炼风机工,冶炼风机工,3,2
,603化工产品生产人员,60301化工产品生产通用工艺人员,6030101化工原料准备工,化工原料准备工,4,2
,,,6030102压缩机工,压缩机工,3,2
,,,6030103气体净化工,气体净化工,3,1
,,,6030104过滤工,过滤工,3,1
,,,6030105油加热工,油加热工,4,1
,,,6030106制冷工,制冷工,3,1
,,,6030107蒸发工,蒸发工,3,1
,,,6030108蒸馏工,蒸馏工,3,1
,,,6030109萃取工,萃取工,3,1
,,,6030110吸收工,吸收工,3,1
,,,6030111吸附工,吸附工,3,1
,,,6030112干燥工,干燥工,3,1
,,,6030113结晶工,结晶工,3,1
"第六大类6生产、运输设备操作人员及有关人员",603化工产品生产人员,60301化工产品生产通用工艺人员,6030114造粒工,造粒工,3,1
,,,6030115防腐蚀工,防腐蚀工,5,2
,,,6030116化工工艺试验工,化工工艺试验工,3,2
,,,6030117化工总控工,化工总控工,1,1
,,60302石油炼制生产人员,6030201燃料油生产工,燃料油生产工,3,1
,,,6030202润滑油、脂生产工,润滑油、脂生产工,3,1
,,,6030203石油产品精制工,石油产品精制工,3,1
,,,6030204油制气工,油制气工,6,2
,,60303煤化工生产人员,6030301备煤筛焦工,备煤筛焦工,4,2
,,,6030302焦炉调温工,焦炉调温工,4,2
,,,6030303炼焦工、焦炉机车司机,炼焦工、焦炉机车司机,6,2
,,,6030304煤制气工,煤制气工,6,2
,,,6030305煤气储运工,煤气储运工,5,2
,,60304化学肥料生产人员,6030401合成氨生产工,合成氨生产工,4,1
,,,6030402尿素生产工,尿素生产工,4,1
,,,6030403硝酸铵生产工,硝酸铵生产工,4,1
,,,6030404碳酸氢铵生产工,碳酸氢铵生产工,4,1
,,,6030405硫酸铵生产工,硫酸铵生产工,5,2
,,,6030406过磷酸钙生产工,过磷酸钙生产工,5,2
,,,6030407复合磷肥生产工,复合磷肥生产工,4,1
,,,6030408钙镁磷肥生产工,钙镁磷肥生产工,4,1
,,,6030409氯化钾生产工,氯化钾生产工,3,1
,,,6030410微量元素混肥生产工,微量元素混肥生产工,4,1
,,60305无机化工产品生产人员,"6030501硫酸生产工",硫酸生产工,7,3
,,,6030502硝酸生产工,硝酸生产工,7,3
,,,6030503盐酸生产工,盐酸生产工,7,3
,,,6030504磷酸生产工,磷酸生产工,7,3
,,,6030505纯碱生产工,纯碱生产工,7,3
,,,6030506烧碱生产工,烧碱生产工,7,3
,,,6030507氟化盐生产工,氟化盐生产工,7,3
,,,6030508缩聚磷酸盐生产工,缩聚磷酸盐生产工,7,3
,,,6030509无机化学反应工,无机化学反应工,4,1
,,,6030510高频等离子工,高频等离子工,5,1
,,60305无机化工产品生产人员,6030511气体深冷分离工、制氧工,气体深冷分离工、制氧工,5,2
,,,"6030512工业气体液化工",工业气体液化工,5,2
,,,6030513炭黑制造工,炭黑制造工,4,2
,,,6030514二硫化碳制造工,二硫化碳制造工,5,2
"第六大类6生产、运输设备操作人员及有关人员",603化工产品生产人员,60305无机化工产品生产人员,"6030515工程师",工程师,2,1
,,,"6030516技师",技师,2,1
,,,"6030517一般工人",一般工人,3,2
,,60306基本有机化工产品生产人员,6030601脂肪烃生产工,脂肪烃生产工,6,2
,,,6030602环烃生产工,环烃生产工,4,2
,,,6030603烃类衍生物生产工,烃类衍生物生产工,4,2
,,60307合成树脂生产人员,6030701聚乙烯生产工,聚乙烯生产工,5,2
,,,6030702聚丙烯生产工,聚丙烯生产工,5,2
,,,6030703聚苯乙烯生产工,聚苯乙烯生产工,5,2
,,,6030704聚丁二烯生产工,聚丁二烯生产工,5,2
,,,6030705聚氯乙烯生产工,聚氯乙烯生产工,5,2
,,,6030706酚醛树脂生产工,酚醛树脂生产工,5,2
,,,6030707环氧树脂生产工,环氧树脂生产工,5,2
,,,6030708丙烯腈-丁二烯-苯乙烯共聚物(ABS),丙烯腈-丁二烯-苯乙烯共聚物(ABS),5,2
,,60308合成橡胶生产人员,6030801顺丁橡胶生产工,顺丁橡胶生产工,5,2
,,,6030802乙丙橡胶生产工,乙丙橡胶生产工,5,2
,,,6030803异戊橡胶生产工,异戊橡胶生产工,5,2
,,,6030804丁腈橡胶生产工,丁腈橡胶生产工,5,2
,,,6030805丁苯橡胶生产工,丁苯橡胶生产工,5,2
,,,6030806氯丁橡胶生产工,氯丁橡胶生产工,5,2
,,60309化学纤维生产人员,6030901化纤聚合工,化纤聚合工,5,2
,,,6030902湿纺原液制造工,湿纺原液制造工,4,1
,,,6030903纺丝工,纺丝工,4,1
,,,6030904化纤后处理工,化纤后处理工,4,1
,,,6030905纺丝凝固浴液配制工,纺丝凝固浴液配制工,3,1
,,,6030906无纺布制造工,无纺布制造工,3,1
,,,6030907化纤纺丝精密组件工,化纤纺丝精密组件工,3,1
,,60310合成革生产人员,6031001合成革制造工,合成革制造工,3,1
,,60311精细化工产品生产人员,6031101有机合成工,有机合成工,3,1
,,,6031102农药生物测试试验工,农药生物测试试验工,3,1
,,,6031103染料标准工,染料标准工,2,1
,,,6031104染料应用试验工,染料应用试验工,2,1
,,,6031105染料拼混工,染料拼混工,3,1
,,,6031106研磨分散工,研磨分散工,3,1
,,,6031107催化剂制造工,催化剂制造工,3,1
,,,6031108催化剂试验工,催化剂试验工,2,1
"第六大类6生产、运输设备操作人员及有关人员",603化工产品生产人员,60311精细化工产品生产人员,6031109涂料合成树脂工,涂料合成树脂工,4,1
,,,6031110制漆配色调制工,制漆配色调制工,4,1
,,,6031111溶剂制造工,溶剂制造工,3,1
,,,6031112化学试剂制造工,化学试剂制造工,3,1
,,,6031113化工添加剂制造工,化工添加剂制造工,3,1
,,60312信息记录材料生产人员,6031201片基制造工,片基制造工,4,1
,,,6031202感光材料制造工,感光材料制造工,4,1
,,,6031203感光材料试验工,感光材料试验工,2,1
,,,6031204暗盒制造工,暗盒制造工,4,1
,,,6031205废片、白银回收工,废片、白银回收工,4,1
,,,6031206磁粉制造工,磁粉制造工,3,1
,,,6031207磁记录材料制造工,磁记录材料制造工,3,1
,,,6031208磁记录材料试验工,磁记录材料试验工,3,1
,,,6031209感光鼓涂敷工,感光鼓涂敷工,3,1
,,60313火药制造人员,6031301单基火药制造工,单基火药制造工,7,3
,,,6031302双基火药制造工,双基火药制造工,7,3
,,,6031303多基火药制造工,多基火药制造工,7,3
,,,6031304黑火药制造工,黑火药制造工,7,3
,,,6031305混合火药制造工,混合火药制造工,7,3
,,60314炸药制造人员,6031401单质炸药制造工,单质炸药制造工,7,3
,,,6031402混合炸药制造工,混合炸药制造工,7,3
,,,6031403起爆药制造工,起爆药制造工,7,3
,,,6031404含水炸药制造工,含水炸药制造工,7,3
,,,"6031405火药爆竹制造及处理人(包括爆竹、烟火制造工)",火药爆竹制造及处理,7,3
,,60315林产化工产品生产人员,6031501松香工,松香工,3,1
,,,6031502松节油制品工,松节油制品工,3,1
,,,6031503活性炭生产工,活性炭生产工,3,1
,,,6031504栲胶生产工,栲胶生产工,3,1
,,,6031505紫胶生产工,紫胶生产工,4,1
,,,6031506栓皮制品工,栓皮制品工,4,1
,,,6031507木材水解工,木材水解工,4,1
,,60316复合材料加工人员,6031601树脂基复合材料工,树脂基复合材料工,4,1
,,,6031602橡胶基复合材料工,橡胶基复合材料工,4,1
,,,6031603碳基复合材料工,碳基复合材料工,4,1
,,,6031604陶瓷基复合材料工,陶瓷基复合材料工,4,1
,,,6031605复合固体推进剂成型工,复合固体推进剂成型工,4,1
,,,6031606复合固体发动机装药工,复合固体发动机装药工,4,1
,,,6031607飞机复合材料制品工,飞机复合材料制品工,4,1
"第六大类6生产、运输设备操作人员及有关人员",603化工产品生产人员,60317日用化学品生产人员,6031701制皂工,制皂工,4,1
,,,6031702甘油工,甘油工,4,1
,,,6031703脂肪酸工,脂肪酸工,4,1
,,,6031704洗衣粉成型工,洗衣粉成型工,4,1
,,,6031705合成洗涤剂制造工,合成洗涤剂制造工,4,1
,,,6031706香料制造工,香料制造工,4,1
,,,6031707香精制造工,香精制造工,4,1
,,,6031708化妆品配制工,化妆品配制工,4,1
,,,6031709牙膏制造工,牙膏制造工,4,1
,,,6031710油墨制造工,油墨制造工,5,1
,,,6031711制胶工,制胶工,4,1
,,,6031712火柴制造工,火柴制造工,6,2
,,,6031713蜡烛制造工,蜡烛制造工,4,1
,,60399其他化工产品生产人员,6039901电子绝缘与介质材料制造工,电子绝缘与介质材料制造工,4,1
,604机械制造加工人员,60401机械冷加工人员,"6040101车工",车工,5,2
,,,6040102铣工,铣工,5,1
,,,6040103刨工,刨工,5,1
,,,6040104磨工,磨工,5,1
,,,6040105镗工,镗工,5,1
,,,6040106钻床工,钻床工,5,1
,,,6040107组合机床操作工,组合机床操作工,5,1
,,,6040108加工中心操作工,加工中心操作工,5,1
