个人寿险投/被保险人职业代码表（2010）,,,,,,
大分类,中分类,小分类,细类（职业）,职业内容,职业风险等级,住院险风险等级
,,,2022504海洋资源开发利用和保护工程技术人员(海水淡化、潮汐能、波浪能等能源开发、海洋生态系统保护等),海水淡化潮汐能波浪能等能源开发技术人员,3,1
,,,2022505海洋工程勘察设计工程技术人员（进行海洋、海底勘察人员）,海洋工程技术人员(进行海洋海底勘察),6,3
,,,2022506海洋工程勘察设计工程技术人员(工程设计规划人员),海洋工程技术人员(工程设计规划人员),2,1
,,20226水产工程技术人员,2022601水产养殖工程技术人员,水产养殖工程技术人员,2,1
,,,2022602渔业资源开发利用工程技术人员,渔业资源开发利用工程技术人员,2,1
,,20227纺织工程技术人员,2022701纺纱工程技术人员,纺纱工程技术人员,2,1
,,,2022702织造工程技术人员,织造工程技术人员,2,1
,,,2022703染整工程技术人员,染整工程技术人员,2,1
,,,"2022704工程师",工程师,2,1
,,20228食品工程技术人员,2022801食品营养卫生研究及食品加工、储运工艺技术开发应用人员,食品营养卫生食品加工储运工艺开发应用人员,1,1
,,20229气象工程技术人员,2022901气象观测人员,气象观测人员,2,1
,,,2022902天气预报人员,天气预报人员,1,1
,,,2022903气候监测预测人员,气候监测预测人员,1,1
,,,2022904应用气象人员,应用气象人员,1,1
,,,2022905气象服务人员,气象服务人员,1,1
,,20230地震工程技术人员,2023001地震工程技术人员,地震工程技术人员,1,1
,,20231环境保护工程技术人员,2023101环境损害控制工程技术人员,环境损害控制工程技术人员,1,1
,,,2023102环境监测工程技术人员,环境监测工程技术人员,1,1
,,,2023103环境污染治理工程技术人员,环境污染治理工程技术人员,2,1
,,,2023104灾害信息员,灾害信息员,1,1
,,,2023105紧急救助员,紧急救助员,7,3
,,20232安全工程技术人员,2023201安全工程技术人员(安全科学技术研究、开发与推广+安全工程设计施工、安全生产运行控制+安全检测、监督、评估+事故调查分析与预测预防),安全工程技术人员,2,1
,,,2023202安全防范系统安装维护员,安全防范系统安装维护员,2,1
,,,2023203安全防范设计评估师,安全防范设计评估师,2,1
"第二大类2专业技术人员",203农业技术人员,20233标准化、计量、质量工程技术人员,2023301标准化工程技术人员(从事技术、服务、管理标准化的研究和标准制定、实施、监督、管理的工程技术人员),标准化工程技术人员,1,1
,,,2023302计量工程技术人员,计量工程技术人员,1,1
,,,2023303质量工程技术人员,质量工程技术人员,1,1
,,20234管理（工业）工程技术人员,2023401普通工业管理工程技术人员,普通工业管理工程技术人员,1,1
,,,2023402系统规划与管理工程技术人员,系统规划与管理工程技术人员,1,1
,,,2023403设施规划与设计工程技术人员,设施规划与设计工程技术人员,1,1
,,,2023404生产组织与管理工程技术人员,生产组织与管理工程技术人员,1,1
,,,2023405质量管理与可靠性控制工程技术人员,质量管理与可靠性控制工程技术人员,1,1
,,,2023406营销工程技术人员,营销工程技术人员,1,1
,,,2023407人力资源开发与管理工程技术人员,人力资源开发与管理工程技术人员,1,1
,,20301土壤肥料技术人员,2030101土壤肥料技术人员,土壤肥料技术人员,2,1
,,20302植物保护技术人员,2030201植物保护技术人员,植物保护技术人员,2,1
,,20303园艺技术人员,2030301园艺技术人员,园艺技术人员,2,1
,,20304作物遗传育种栽培技术人员,2030401作物遗传育种栽培技术人员,作物遗传育种栽培技术人员,2,1
