生命人寿职业代码（第三版）,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
行业,,,,,,职业,,,,,代码,,意外险,,,寿险,,豁免
,,,,,人力三轮车夫,,,,,,71013,,3,,,标准,,1
,,,,,拖拉机（手扶）驾驶员,,,,,,71014,,6,,,25,,2
,,,,,拖拉机（方向盘）驾驶员,,,,,,71015,,5,,,标准,,1
,,,,,机动三轮车夫,,,,,,71016,,6,,,25,,2
,,,,,柜台售票员,,,,,,71017,,1,,,标准,,1
,,,,,客运车稽核人员,,,,,,71018,,2,,,标准,,1
,,,,,营业用货车司机及随车工人(4吨以上),,,,,,71019,,6,,,标准,,1.5
,,,,,营业用货车司机及随车工人(4吨或以下),,,,,,71020,,5,,,标准,,1
,,,,,搬运工人,,,,,,71021,,6,,,25,,2
,,,砂石车司机、随车工人,,,,,,71022,,6,,25,,,2,,
,,,工程卡车司机、随车工人,,,,,,71023,,6,,25,,,2,,
,,,液化、气化油罐车司机、随车工人,,,,,,71024,,拒保,,25,,,拒保,,
,,,货柜车司机、随车工人,,,,,,71025,,5,,标准,,,2,,
,,,缆车操作员,,,,,,71026,,3,,标准,,,1,,
,,,中巴、小巴司机及售票员,,,,,,71027,,3,,标准,,,1,,
,,,公共汽车司机及售票员,,,,,,71028,,3,,标准,,,1,,
,,,营业用摩托车驾驶员,,,,,,71029,,5,,25,,,2,,
铁路、地铁072,,,站长,,,,,,72001,,1,,标准,,,1,,
,,,票房工作人员,,,,,,72002,,1,,标准,,,1,,
,,,播音员,,,,,,72003,,1,,标准,,,1,,
,,,一般内勤人员,,,,,,72004,,1,,标准,,,1,,
,,,车站检票员,,,,,,72005,,1,,标准,,,1,,
,,,服务台人员,,,,,,72006,,1,,标准,,,1,,
,,,月台工作人员,,,,,,72007,,2,,标准,,,1,,
,,,行李搬运工人,,,,,,72008,,3,,标准,,,1,,
,,,车站清洁工人,,,,,,72009,,3,,标准,,,1,,
,,,随车人员(技术人员除外),,,,,,72010,,2,,标准,,,1,,
,,,驾驶员,,,,,,72011,,3,,标准,,,1,,
,,,燃料填充员,,,,,,72012,,3,,标准,,,1,,
,,,机工,,,,,,72013,,4,,标准,,,1,,
,,,电工,,,,,,72014,,4,,标准,,,1,,
,,,修设厂厂长,,,,,,72015,,1,,标准,,,1,,
,,,修设厂一般内勤人员,,,,,,72016,,1,,标准,,,1,,
,,,修设厂工程师,,,,,,72017,,2,,标准,,,1,,
,,,修设厂技工,,,,,,72018,,4,,标准,,,1,,
,,,修路工,,,,,,72019,,4,,25,,,1.5,,
,,,铁路维修工,,,,,,72020,,4,,25,,,1.5,,
,,,平交道看守人员,,,,,,72021,,2,,标准,,,1,,
,,,铁路货运领班,,,,,,72022,,3,,标准,,,1,,
,,,铁路货运搬运工人,,,,,,72023,,4,,标准,,,1.5,,
,,,仓库管理员,,,,,,72024,,3,,标准,,,1,,
,,,火车乘警,,,,,,72025,,5,,标准,,,1,,
,,,发电车乘务员,,,,,,72026,,3,,标准,,,1,,
,,,铁路信号工人,,,,,,72027,,4,,标准,,,1,,
,,,铁路通讯工人,,,,,,72028,,4,,标准,,,1,,
航运073,,,1)客货轮、游览船、小汽艇一般工作人员,,,,,,73001,,5,,50,,,2,,
,,,2)港口作业,,,,,,,,,,,,,,,
,,,2)港口作业-码头工人及领班(陆上作业),,,,,,73002,,5,,25,,,1,,
,,,2)港口作业-码头工人及领班(上船作业),,,,,,73003,,6,,25,,,2,,
,,,2)港口作业-堆高机操作员,,,,,,73004,,5,,标准,,,1,,
,,,2)港口作业-吊车（平吊、龙门吊）操作人员,,,,,,73005,,5,,标准,,,1,,
,,,2)港口作业-吊车（塔吊）操作人员,,,,,,73006,,拒保,,50,,,拒保,,
,,,2)港口作业-仓库管理员,,,,,,73007,,3,,标准,,,1,,
,,,2)港口作业-领航员、引水员,,,,,,73008,,4,,标准,,,1,,
,,,2)港口作业-关务人员,,,,,,73009,,2,,标准,,,1,,
,,,2)港口作业-稽查人员,,,,,,73010,,6,,25,,,1.5,,
