泰康在线职业分类表,,,,,
,,,,,
大分类,中分类,,小分类,,职业等级
,,,00737030,航天器结构强度环境试验工人,3
,,,00737031,航天器结构高低温环境试验工人,3
,,,00737032,火箭发动机介质试验工人,3
,,,00737033,航天器系统试验工人,3
,,,00737034,空间环境模拟光学装测工人,2
,,,00737035,空间环境模拟温度试验工人,2
,,,00737036,空间环境模拟真空试验工人,2
,,,00743003,橡胶半成品制造工,3
,,,00743009,塑料制品成型制作工(自动),3
,,,00743011,工程师,2
,,,00743012,技师,3
,,,00743013,一般工人,3
,,,00744006,压缩机工,3
,,,00744007,气体净化工,3
,,,00744008,过滤工,3
,,,00744010,制冷工,3
,,,00744011,蒸发工,3
,,,00744012,蒸馏工,3
,,,00744013,萃取工,3
,,,00744014,吸收工,3
,,,00744015,吸附工,3
,,,00744016,干燥工,3
,,,00744017,结晶工,3
,,,00744018,造粒工,3
,,,00744020,化工工艺试验工,3
,,,00744021,化工总控工,1
,,,00744022,样品检验员,2
,,,00744023,仪表监控员,2
,,,00744024,燃料油生产工,3
,,,00744025,润滑油、脂生产工,3
,,,00744026,石油产品精制工,3
,,,00744041,氯化钾生产工,3
,,,00744081,纺丝凝固浴液配制工,3
,,,00744082,无纺布制造工,3
,,,00744083,化纤纺丝精密组件工,3
,,,00744084,合成革制造工,3
,,,00744085,有机合成工,3
,,,00744086,农药生物测试试验工,3
,,,00744087,染料标准工,2
,,,00744088,染料应用试验工,2
,,,00744089,染料拼混工,3
,,,00744090,研磨分散工,3
,,,00744091,催化剂制造工,3
,,,00744092,催化剂试验工,2
,,,00744095,溶剂制造工,3
,,,00744096,化学试剂制造工,3
,,,00744097,化工添加剂制造工,3
,,,00744100,感光材料试验工,2
,,,00744104,磁记录材料制造工,3
,,,00744105,磁记录材料试验工,3
,,,00744106,感光鼓涂敷工,3
,,,00744145,领班、监工,3
,,,00744146,一般工人,3
,,,00744149,样品检验员,2
,,,00744150,仪表监控员,2
,,,00745004,工程师,2
,,,00745005,技师,2
,,,00745006,纤维验配工,1
,,,00745007,开清棉工,2
,,,00745008,纤维染色工,2
,,,00745009,加湿软麻工,2
,,,00745010,选剥煮茧工,2
,,,00745011,纤维梳理工,2
,,,00745012,并条工,2
,,,00745013,粗纱工,2
,,,00745014,绢纺精炼工,3
,,,00745015,细纱工,2
,,,00745016,简并摇工,2
,,,00745017,捻线工,2
,,,00745018,制线工,2
,,,00745019,缫丝工,2
,,,00745020,整经工,2
,,,00745021,浆纱工,2
,,,00745022,穿经工,2
,,,00745023,织布工,2
,,,00745024,织物验修工,2
,,,00745025,意匠纹版工,2
,,,00745026,织造工人,2
,,,00745027,纬编工,2
,,,00745028,经编工,2
,,,00745029,横机工,2
,,,00745030,织袜工,2
,,,00745031,铸、钳针工,2
,,,00745032,坯布检查处理工,2
,,,00745033,印染烧毛工,3
,,,00745035,印染洗涤工,3
,,,00745044,印染染化料配制工,3
,,,00745045,工艺染织制作工,2
,,,00745046,染整工人,3
,,,00745047,裁剪工,3
,,,00745048,缝纫工,3
,,,00745049,缝纫品整型工,3
,,,00745050,裁缝,2
,,,00745051,剧装工,3
,,,00745052,设计师,1
,,,00745054,制帽工,3
,,,00745056,毛皮加工工,3
,,,00745057,缝纫制品充填处理工,3
,,,00745058,胶制服装上胶工,3
,,,00745059,服装水洗工,2
,,,00745060,制造工人,2
,,,00745061,质量检验人员,1
,,,00745062,缝纫制品再加工人员,3
,,,00745063,纺织纤维检验工,2
,,,00745064,针纺织品检验工,2
,,,00745065,印染工艺检验工,2
,,,00745067,服装鞋帽检验工,2
,,,00745068,刺绣工人,2
,,,00745069,地毯制造工人,3
,,,00745070,接触尘埃或有毒化合物人员,3
,,,00745071,床垫及枕头织造业人员,3
,,,00745072,羽绒、羽毛加工人员,2
,00746,造纸\纸产品,00746001,领班、监工,3
,,,00746003,技师,2
,,,00746004,仓库管理员,3
,,,00746009,纸张整饰工,3
,,,00746012,纸盒制作工,3
,00747,家具制造业,00747001,技术人员,3
,,,00747002,领班、监工,3
,,,00747007,木材及家具检验工,3
,,,00747008,油漆工,2
,,,00747010,闵工,3
,00748,食品\饮料\饲料制造业,00748001,制米工,3
,,,00748002,制粉工,3
,,,00748003,制油工,3
,,,00748004,食糖制造工,3
,,,00748005,糖果制造工,3
,,,00748006,巧克力制造工,3
,,,00748007,乳品预处理工,2
,,,00748008,乳品加工工,3
,,,00748009,蜂产品加工工,3
,,,00748010,冷食品制作工,3
,,,00748011,速冻食品制作工,3
,,,00748012,食品罐头加工工,3
,,,00748013,饮料制作工,3
,,,00748014,白酒酿造工,3
,,,00748015,啤酒酿造工,3
,,,00748016,黄酒酿造工,3
,,,00748017,果露酒酿造工,3
,,,00748018,洒精制造工,3
,,,00748019,酒品标签粘贴、包装工人,2
,,,00748020,酶制剂制造工,3
,,,00748021,柠檬酸制造工,3
,,,00748022,酱油酱类制作工,3
,,,00748023,食醋制作工,3
,,,00748024,酱腌菜制作工,3
,,,00748025,食用调料制作工,3
,,,00748027,糕点、面包烘焙工,2
