主合同被保险人与附加合同被保险人为非同一人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
《工银安盛人寿附加豁免保险费定期寿险（2016）》保费表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"交费期间投保年龄",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
38,3.04,4.15,5.25,6.51,7.82,9.11,10.39,11.74,13.84,15.37,17,18.72,20.53,22.43,24.44,26.54,28.73,31.02,,,,,,,,,,,1.26,1.72,2.19,2.72,3.27,3.82,4.37,4.95,5.84,6.5,7.2,7.95,8.73,9.56,10.44,11.36,12.33,13.34,,,,,,,,,,
39,3.3,4.51,5.73,7.1,8.54,9.96,11.37,12.86,15.17,16.86,18.64,20.53,22.52,24.6,26.79,29.07,31.45,33.93,,,,,,,,,,,1.38,1.89,2.4,2.99,3.6,4.21,4.81,5.45,6.44,7.17,7.94,8.76,9.62,10.54,11.5,12.5,13.56,14.67,,,,,,,,,,
40,3.6,4.93,6.26,7.77,9.36,10.92,12.47,14.11,16.66,18.52,20.48,22.54,24.71,26.99,29.36,31.84,34.42,37.1,,,,,,,,,,,1.51,2.08,2.64,3.29,3.97,4.64,5.3,6.01,7.11,7.91,8.76,9.66,10.61,11.61,12.66,13.76,14.91,16.12,,,,,,,,,,
41,3.94,5.4,6.86,8.53,10.28,12,13.71,15.52,18.32,20.36,22.5,24.76,27.12,,,,,,,,,,,,,,,,1.67,2.29,2.91,3.63,4.38,5.12,5.86,6.64,7.85,8.73,9.67,10.66,11.7,,,,,,,,,,,,,,,
42,4.32,5.93,7.54,9.38,11.31,13.21,15.09,17.08,20.15,22.39,24.73,27.19,29.76,,,,,,,,,,,,,,,,1.84,2.53,3.22,4.01,4.84,5.66,6.48,7.34,8.67,9.64,10.67,11.75,12.89,,,,,,,,,,,,,,,
43,4.76,6.52,8.3,10.33,12.46,14.55,16.62,18.8,22.17,24.61,27.16,29.83,32.61,,,,,,,,,,,,,,,,2.04,2.79,3.56,4.44,5.36,6.26,7.16,8.11,9.57,10.64,11.76,12.94,14.18,,,,,,,,,,,,,,,
44,5.24,7.19,9.16,11.39,13.73,16.03,18.3,20.69,24.38,27.02,29.79,32.68,35.69,,,,,,,,,,,,,,,,2.25,3.09,3.94,4.91,5.92,6.92,7.91,8.95,10.56,11.73,12.95,14.24,15.58,,,,,,,,,,,,,,,
45,5.78,7.93,10.1,12.56,15.13,17.65,20.13,22.73,26.76,29.63,32.62,35.74,38.98,,,,,,,,,,,,,,,,2.49,3.42,4.36,5.43,6.55,7.64,8.73,9.87,11.63,12.9,14.24,15.64,17.1,,,,,,,,,,,,,,,
46,6.38,8.75,11.14,13.84,16.66,19.41,22.1,24.93,29.31,32.41,35.64,39,42.5,,,,,,,,,,,,,,,,2.76,3.79,4.82,5.99,7.22,8.43,9.61,10.86,12.79,14.17,15.62,17.14,18.74,,,,,,,,,,,,,,,
47,7.03,9.64,12.25,15.21,18.29,21.28,24.21,27.27,32.01,35.35,38.83,42.46,46.24,,,,,,,,,,,,,,,,3.05,4.18,5.32,6.61,7.96,9.27,10.57,11.93,14.03,15.53,17.11,18.76,20.51,,,,,,,,,,,,,,,
48,7.74,10.59,13.45,16.68,20.02,23.27,26.43,29.73,34.86,38.46,42.21,46.12,50.22,,,,,,,,,,,,,,,,3.36,4.61,5.86,7.27,8.74,10.18,11.59,13.07,15.35,16.99,18.7,20.51,22.42,,,,,,,,,,,,,,,
49,8.49,11.6,14.72,18.22,21.85,25.35,28.76,32.31,37.85,41.72,45.77,50.02,54.48,,,,,,,,,,,,,,,,3.7,5.07,6.43,7.98,9.59,11.15,12.68,14.28,16.77,18.55,20.42,22.41,24.51,,,,,,,,,,,,,,,
50,9.27,12.67,16.04,19.84,23.75,27.53,31.19,35.01,40.98,45.17,49.56,54.18,59.06,,,,,,,,,,,,,,,,4.06,5.56,7.05,8.73,10.48,12.18,13.83,15.57,18.28,20.23,22.29,24.48,26.81,,,,,,,,,,,,,,,
51,10.1,13.78,17.43,21.52,25.73,29.79,33.72,37.83,,,,,,,,,,,,,,,,,,,,,4.45,6.07,7.7,9.53,11.42,13.26,15.06,16.96,,,,,,,,,,,,,,,,,,,,
52,10.96,14.93,18.86,23.25,27.78,32.14,36.37,40.81,,,,,,,,,,,,,,,,,,,,,4.85,6.62,8.39,10.37,12.43,14.42,16.38,18.45,,,,,,,,,,,,,,,,,,,,
53,11.84,16.11,20.33,25.05,29.91,34.6,39.17,44,,,,,,,,,,,,,,,,,,,,,5.28,7.2,9.11,11.26,13.49,15.66,17.81,20.09,,,,,,,,,,,,,,,,,,,,
54,12.75,17.33,21.85,26.91,32.15,37.22,42.19,47.46,,,,,,,,,,,,,,,,,,,,,5.73,7.81,9.88,12.21,14.64,17.02,19.39,21.91,,,,,,,,,,,,,,,,,,,,
55,13.68,18.58,23.44,28.9,34.56,40.07,45.52,51.32,,,,,,,,,,,,,,,,,,,,,6.21,8.46,10.7,13.25,15.91,18.54,21.16,23.99,,,,,,,,,,,,,,,,,,,,
56,14.65,19.92,25.16,31.07,37.23,43.27,49.28,55.71,,,,,,,,,,,,,,,,,,,,,6.71,9.16,11.62,14.41,17.35,20.27,23.21,26.38,,,,,,,,,,,,,,,,,,,,
57,15.71,21.41,27.09,33.54,40.3,46.97,53.64,60.81,,,,,,,,,,,,,,,,,,,,,7.29,9.97,12.67,15.76,19.03,22.31,25.62,29.21,,,,,,,,,,,,,,,,,,,,
58,16.93,23.12,29.34,36.43,43.9,51.32,58.78,66.8,,,,,,,,,,,,,,,,,,,,,7.96,10.91,13.91,17.36,21.03,24.72,28.47,32.56,,,,,,,,,,,,,,,,,,,,
59,18.36,25.15,32.01,39.86,48.17,56.47,64.83,73.78,,,,,,,,,,,,,,,,,,,,,8.75,12.04,15.4,19.27,23.42,27.6,31.88,36.53,,,,,,,,,,,,,,,,,,,,
60,20.06,27.57,35.19,43.94,53.25,62.55,71.89,81.88,,,,,,,,,,,,,,,,,,,,,9.71,13.4,17.18,21.56,26.27,31.04,35.91,41.2,,,,,,,,,,,,,,,,,,,,
